"","Sample","Sequ_count_in","Sequ_count_out","pct_pass"
"80","TCDW_2_S8_PE_cut.fastq","111768",NA,NA
"81","TRA_1_S82_PE_cut.fastq","101729",NA,NA
"82","TRA_2_S83_PE_cut.fastq","112397",NA,NA
"83","TS_1_S77_PE_cut.fastq","146326",NA,NA
"84","TS_2_S78_PE_cut.fastq","100778",NA,NA
"85","Undetermined_S0_PE_cut.fastq","640477","84813","13.24"
"86","VRBF_1_S9_PE_cut.fastq","93360",NA,NA
"87","VRBF_2_S10_PE_cut.fastq","84643",NA,NA
"88","VRSB_1_S5_PE_cut.fastq","113064",NA,NA
"89","VRSB_2_S6_PE_cut.fastq","91838",NA,NA
"90","WBC_1_S17_PE_cut.fastq","112776",NA,NA
"91","WBC_2_S18_PE_cut.fastq","84290",NA,NA
"92","WCC_1_S1_PE_cut.fastq","120421",NA,NA
"93","WCC_2_S2_PE_cut.fastq","123728",NA,NA
"94","WFOC_1_S15_PE_cut.fastq","116969",NA,NA
"95","WFOC_2_S16_PE_cut.fastq","109859",NA,NA
