"","Sample","Sequ_count_in","Sequ_count_out","pct_pass"
"63","neg_Control_S89_R2_cut.fastq","193900","104765","54.03"
"64","pos_Control_S87_R2_cut.fastq","75155","55139","73.37"
"65","RM_20_1_S19_R2_cut.fastq","86559","63797","73.7"
"66","RM_20_2_S20_R2_cut.fastq","73885","54484","73.74"
"67","RM_88_1_S21_R2_cut.fastq","64729","47516","73.41"
"68","RM_88_2_S22_R2_cut.fastq","100135","73441","73.34"
"69","SC_1_S13_R2_cut.fastq","121077","89388","73.83"
"70","SC_2_S14_R2_cut.fastq","111343","81896","73.55"
"71","SCGC_1_S75_R2_cut.fastq","88680","65651","74.03"
"72","SCGC_2_S76_R2_cut.fastq","101577","75480","74.31"
"73","SHI_1_S63_R2_cut.fastq","107975","80206","74.28"
"74","SHI_2_S64_R2_cut.fastq","111348","81606","73.29"
"75","SPE_1_S84_R2_cut.fastq","92927","68484","73.7"
"76","SPE_2_S85_R2_cut.fastq","121772","89614","73.59"
"77","TAP_1_S65_R2_cut.fastq","77296","57139","73.92"
"78","TAP_2_S66_R2_cut.fastq","79767","58595","73.46"
"79","TCDW_1_S7_R2_cut.fastq","97122","71956","74.09"
"80","TCDW_2_S8_R2_cut.fastq","119542","88037","73.65"
"81","TRA_1_S82_R2_cut.fastq","108678","79354","73.02"
"82","TRA_2_S83_R2_cut.fastq","120038","87382","72.8"
"83","TS_1_S77_R2_cut.fastq","157087","115139","73.3"
"84","TS_2_S78_R2_cut.fastq","108142","78850","72.91"
"85","Undetermined_S0_R2_cut.fastq","779703","132556","17"
"86","VRBF_1_S9_R2_cut.fastq","100008","73930","73.92"
"87","VRBF_2_S10_R2_cut.fastq","90824","65422","72.03"
"88","VRSB_1_S5_R2_cut.fastq","121100","89153","73.62"
"89","VRSB_2_S6_R2_cut.fastq","97878","72139","73.7"
"90","WBC_1_S17_R2_cut.fastq","120410","89534","74.36"
"91","WBC_2_S18_R2_cut.fastq","90167","65699","72.86"
"92","WCC_1_S1_R2_cut.fastq","128700","94945","73.77"
"93","WCC_2_S2_R2_cut.fastq","132103","98154","74.3"
"94","WFOC_1_S15_R2_cut.fastq","125140","92392","73.83"
"95","WFOC_2_S16_R2_cut.fastq","117605","85987","73.12"
